device,rho,seed,deadline_ratio,deadline_ms,epsilon,skip_mode,r_good_mbps,r_bad_mbps,rate_ratio,pi_bad_observed,lag1_autocorr,forced_count,discretionary_budget,burst_burn_in_slots,discard_gain_percent,targeting_gain_percent,oracle_gap_percent,online_recovery,p2prime_gap_percent,P1_violation_count,P0_violation_count,P2_violation_count,P2prime_violation_count,P3_violation_count
device_0,0.0,1701,1.2,42.0,0.1,drop,48,16,3,0.19936,-0.002661444942765865,3163,6837,1000,7.091610444518827,15.517119501936259,22.608729946455085,0.9940436612910529,0.0235313695124275,3163,10000,10000,10000,10000
device_0,0.0,1702,1.2,42.0,0.1,drop,48,16,3,0.20106,0.005830007599770396,3200,6800,1000,7.021700187749724,15.413268701631171,22.43496888938089,0.9941578817634964,0.025798539169337737,3200,10000,10000,10000,10000
device_0,0.0,1703,1.2,42.0,0.1,drop,48,16,3,0.19952,0.005656351965683195,3200,6800,1000,6.874726546780952,15.60923359447228,22.483960141253235,0.993593135242173,0.025887485505338134,3200,10000,10000,10000,10000
device_0,0.0,1704,1.2,42.0,0.1,drop,48,16,3,0.20257,0.002457782015709934,3103,6897,1000,7.001135682559962,15.592340745409885,22.593476427969847,0.9944057747533346,0.022911168129938802,3103,10000,10000,10000,10000
device_0,0.0,1705,1.2,42.0,0.1,drop,48,16,3,0.20104,-0.004155617772998724,3178,6822,1000,7.046371944605838,15.469996418896368,22.516368363502206,0.9936323939672195,0.023445784143224672,3178,10000,10000,10000,10000
device_0,0.0,1706,1.2,42.0,0.1,drop,48,16,3,0.20062,-0.0045443747273977144,3146,6854,1000,7.199419651193425,15.44347716852495,22.642896819718374,0.9940625068488319,0.02187198946528957,3146,10000,10000,10000,10000
device_0,0.0,1707,1.2,42.0,0.1,drop,48,16,3,0.19896,0.001346027845602329,3139,6861,1000,6.986215104290816,15.684111381530261,22.670326485821075,0.9942285336493613,0.02303183699964127,3139,10000,10000,10000,10000
device_0,0.0,1708,1.2,42.0,0.1,drop,48,16,3,0.19922,-0.001372807149175493,3189,6811,1000,7.0438357830445515,15.469850618321447,22.513686401365998,0.9942247962316528,0.024031982745570182,3189,10000,10000,10000,10000
device_0,0.0,1709,1.2,42.0,0.1,drop,48,16,3,0.20001,0.005034822885721277,3191,6809,1000,6.935952583901071,15.586025282310525,22.521977866211596,0.9939066858844071,0.02449868864897789,3191,10000,10000,10000,10000
device_0,0.0,1710,1.2,42.0,0.1,drop,48,16,3,0.19848,0.0007247411049733544,3096,6904,1000,6.944482764674484,15.915852814673226,22.860335579347705,0.9942125518935808,0.025601694359540097,3096,10000,10000,10000,10000
device_0,0.375,1701,1.2,42.0,0.1,drop,48,16,3,0.19773,0.37585282092426525,3098,6902,1000,7.188176178963088,15.643170296117907,22.831346475080995,0.9933177275395244,0.07425553067399676,3098,10000,10000,10000,10000
device_0,0.375,1702,1.2,42.0,0.1,drop,48,16,3,0.20083,0.3763938072575695,3186,6814,1000,6.937130791878656,15.511723117933698,22.448853909812353,0.9933710897813962,0.07048949829065791,3186,10000,10000,10000,10000
device_0,0.375,1703,1.2,42.0,0.1,drop,48,16,3,0.19949,0.3708761472322628,3203,6797,1000,6.975666860524862,15.472293755136235,22.4479606156611,0.9934721380075999,0.06763796591461033,3203,10000,10000,10000,10000
device_0,0.375,1704,1.2,42.0,0.1,drop,48,16,3,0.19956,0.37083454970073176,3200,6800,1000,6.94090480256881,15.515267584783846,22.45617238735266,0.9941143862338513,0.07104988174986242,3200,10000,10000,10000,10000
